time,exp1_s1,exp1_s1_Distorted
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.201005025125628,0,0
0.201005025125628,0,0
0.201005025125628,0,0
0.201005025125628,0,0
0.201005025125628,0,0
0.201005025125628,1,1
0.201005025125628,0,0
0.201005025125628,1,1
0.201005025125628,0,0
0.201005025125628,1,1
0.402010050251256,0,0
0.402010050251256,0,0
0.402010050251256,1,1
0.402010050251256,0,0
0.402010050251256,1,1
0.402010050251256,1,1
0.402010050251256,1,1
0.402010050251256,0,0
0.402010050251256,1,1
0.402010050251256,0,0
0.603015075376884,0,0
0.603015075376884,0,0
0.603015075376884,1,1
0.603015075376884,1,1
0.603015075376884,0,0
0.603015075376884,0,0
0.603015075376884,1,1
0.603015075376884,1,1
0.603015075376884,3,3
0.603015075376884,0,0
0.804020100502513,2,2
0.804020100502513,1,1
0.804020100502513,0,0
0.804020100502513,1,1
0.804020100502513,0,0
0.804020100502513,1,1
0.804020100502513,1,1
0.804020100502513,0,0
0.804020100502513,2,2
0.804020100502513,2,2
1.00502512562814,0,0
1.00502512562814,1,1
1.00502512562814,1,1
1.00502512562814,1,1
1.00502512562814,1,1
1.00502512562814,2,1
1.00502512562814,1,1
1.00502512562814,1,1
1.00502512562814,3,2
1.00502512562814,1,1
1.20603015075377,2,2
1.20603015075377,0,0
1.20603015075377,1,1
1.20603015075377,1,1
1.20603015075377,3,3
1.20603015075377,0,0
1.20603015075377,1,1
1.20603015075377,1,1
1.20603015075377,0,0
1.20603015075377,3,3
1.4070351758794,3,3
1.4070351758794,1,1
1.4070351758794,2,2
1.4070351758794,0,0
1.4070351758794,1,1
1.4070351758794,0,0
1.4070351758794,1,1
1.4070351758794,2,2
1.4070351758794,0,0
1.4070351758794,1,1
1.60804020100503,1,1
1.60804020100503,1,1
1.60804020100503,2,2
1.60804020100503,5,5
1.60804020100503,0,0
1.60804020100503,1,1
1.60804020100503,2,2
1.60804020100503,1,1
1.60804020100503,4,4
1.60804020100503,4,4
1.80904522613065,2,2
1.80904522613065,3,3
1.80904522613065,1,1
1.80904522613065,2,1
1.80904522613065,5,5
